"Termos","Freq","Documento","IES","Código"
"advisor",1,1,1,96
"among",1,1,1,208
"analyz",2,1,1,227
"anchor",1,1,1,233
"artisan",8,1,1,345
"attempt",1,1,1,396
"attent",1,1,1,399
"bai",4,1,1,449
"base",1,1,1,473
"bibliograph",1,1,1,546
"breakdown",1,1,1,660
"can",2,1,1,737
"carvalho",1,1,1,789
"ciência",1,1,1,917
"class",1,1,1,940
"coloni",1,1,1,1009
"commun",3,1,1,1033
"conserv",1,1,1,1121
"construct",1,1,1,1133
"contemporari",1,1,1,1144
"count",1,1,1,1211
"cultur",1,1,1,1276
"deterritori",3,1,1,1447
"direct",1,1,1,1504
"directli",1,1,1,1505
"dismantl",1,1,1,1531
"dispers",1,1,1,1535
"disrupt",1,1,1,1541
"due",3,1,1,1621
"ecosystem",1,1,1,1657
"emphas",1,1,1,1722
"escola",1,1,1,1815
"estatística",1,1,1,1827
"even",1,1,1,1855
"experi",1,1,1,1905
"factor",1,1,1,1942
"fish",12,1,1,2039
"fishermen",2,1,1,2042
"found",1,1,1,2100
"gener",1,1,1,2200
"giannella",1,1,1,2241
"guanabara",3,1,1,2334
"histor",1,1,1,2458
"hous",1,1,1,2494
"howev",2,1,1,2497
"ibg",1,1,1,2537
"impact",2,1,1,2578
"industri",3,1,1,2635
"interview",1,1,1,2749
"investig",1,1,1,2771
"island",7,1,1,2787
"janeiro",3,1,1,2812
"julien",1,1,1,2846
"keyword",1,1,1,2877
"lemo",1,1,1,2992
"letícia",1,1,1,3005
"locat",2,1,1,3061
"long",1,1,1,3077
"look",1,1,1,3082
"made",1,1,1,3130
"main",1,1,1,3141
"maintain",2,1,1,3143
"memori",1,1,1,3273
"methodologi",1,1,1,3308
"metropol",1,1,1,3312
"metropolitan",2,1,1,3314
"middl",1,1,1,3330
"nacion",1,1,1,3502
"narr",1,1,1,3515
"neighborhood",1,1,1,3548
"object",2,1,1,3674
"occur",1,1,1,3686
"order",1,1,1,3741
"paquetá",7,1,1,3827
"plant",1,1,1,4010
"pollut",1,1,1,4051
"pool",1,1,1,4065
"possibl",1,1,1,4093
"practic",1,1,1,4114
"predatori",1,1,1,4129
"presenc",2,1,1,4157
"privileg",1,1,1,4190
"problem",1,1,1,4200
"process",2,1,1,4204
"project",1,1,1,4223
"protect",1,1,1,4247
"provid",1,1,1,4253
"reconfigur",2,1,1,4408
"reflect",1,1,1,4431
"region",3,1,1,4441
"relationship",1,1,1,4463
"reproduct",1,1,1,4500
"research",2,1,1,4505
"resist",1,1,1,4512
"restrict",1,1,1,4525
"rio",3,1,1,4570
"saback",1,1,1,4630
"seen",1,1,1,4748
"semi",1,1,1,4760
"social",1,1,1,4959
"space",1,1,1,4999
"specif",1,1,1,5014
"still",1,1,1,5102
"strong",1,1,1,5134
"structur",1,1,1,5137
"suffer",1,1,1,5175
"territori",7,1,1,5335
"threaten",1,1,1,5382
"throughout",1,1,1,5389
"thu",1,1,1,5392
"time",1,1,1,5401
"understand",2,1,1,5574
"unravel",1,1,1,5617
"urban",3,1,1,5630
"valor",1,1,1,5660
"verifi",1,1,1,5701
"well",2,1,1,5821
"worker",1,1,1,5868
"access",3,2,1,30
"account",2,2,1,39
"acess",1,2,1,44
"achiev",1,2,1,46
"adapt",2,2,1,65
"addit",2,2,1,70
"address",1,2,1,72
"adequ",2,2,1,74
"advisor",1,2,1,96
"afford",1,2,1,103
"agenda",5,2,1,111
"allow",2,2,1,172
"alreadi",1,2,1,180
"among",1,2,1,208
"ana",1,2,1,216
"analyz",2,2,1,227
"andrea",1,2,1,238
"applic",1,2,1,284
"assist",4,2,1,367
"basic",2,2,1,477
"becom",1,2,1,498
"better",1,2,1,535
"brazil",2,2,1,656
"brazilian",1,2,1,657
"broadli",1,2,1,676
"can",1,2,1,737
"cancelo",1,2,1,739
"challeng",1,2,1,858
"ciência",1,2,1,917
