"Termos","Freq","Documento","IES"
"advisor",1,1,1
"among",1,1,1
"analyz",2,1,1
"anchor",1,1,1
"artisan",8,1,1
"attempt",1,1,1
"attent",1,1,1
"bai",4,1,1
"base",1,1,1
"bibliograph",1,1,1
"breakdown",1,1,1
"can",2,1,1
"carvalho",1,1,1
"ciência",1,1,1
"class",1,1,1
"coloni",1,1,1
"commun",3,1,1
"conserv",1,1,1
"construct",1,1,1
"contemporari",1,1,1
"count",1,1,1
"cultur",1,1,1
"deterritori",3,1,1
"direct",1,1,1
"directli",1,1,1
"dismantl",1,1,1
"dispers",1,1,1
"disrupt",1,1,1
"due",3,1,1
"ecosystem",1,1,1
"emphas",1,1,1
"escola",1,1,1
"estatística",1,1,1
"even",1,1,1
"experi",1,1,1
"factor",1,1,1
"fish",12,1,1
"fishermen",2,1,1
"found",1,1,1
"gener",1,1,1
"giannella",1,1,1
"guanabara",3,1,1
"histor",1,1,1
"hous",1,1,1
"howev",2,1,1
"ibg",1,1,1
"impact",2,1,1
"industri",3,1,1
"interview",1,1,1
"investig",1,1,1
"island",7,1,1
"janeiro",3,1,1
"julien",1,1,1
"keyword",1,1,1
"lemo",1,1,1
"letícia",1,1,1
"locat",2,1,1
"long",1,1,1
"look",1,1,1
"made",1,1,1
"main",1,1,1
"maintain",2,1,1
"memori",1,1,1
"methodologi",1,1,1
"metropol",1,1,1
"metropolitan",2,1,1
"middl",1,1,1
"nacion",1,1,1
"narr",1,1,1
"neighborhood",1,1,1
"object",2,1,1
"occur",1,1,1
"order",1,1,1
"paquetá",7,1,1
"plant",1,1,1
"pollut",1,1,1
"pool",1,1,1
"possibl",1,1,1
"practic",1,1,1
"predatori",1,1,1
"presenc",2,1,1
"privileg",1,1,1
"problem",1,1,1
"process",2,1,1
"project",1,1,1
"protect",1,1,1
"provid",1,1,1
"reconfigur",2,1,1
"reflect",1,1,1
"region",3,1,1
"relationship",1,1,1
"reproduct",1,1,1
"research",2,1,1
"resist",1,1,1
"restrict",1,1,1
"rio",3,1,1
"saback",1,1,1
"seen",1,1,1
"semi",1,1,1
"social",1,1,1
"space",1,1,1
"specif",1,1,1
"still",1,1,1
"strong",1,1,1
"structur",1,1,1
"suffer",1,1,1
"territori",7,1,1
"threaten",1,1,1
"throughout",1,1,1
"thu",1,1,1
"time",1,1,1
"understand",2,1,1
"unravel",1,1,1
"urban",3,1,1
"valor",1,1,1
"verifi",1,1,1
"well",2,1,1
"worker",1,1,1
"access",3,2,1
"account",2,2,1
"acess",1,2,1
"achiev",1,2,1
"adapt",2,2,1
"addit",2,2,1
"address",1,2,1
"adequ",2,2,1
"advisor",1,2,1
"afford",1,2,1
"agenda",5,2,1
"allow",2,2,1
"alreadi",1,2,1
"among",1,2,1
"ana",1,2,1
"analyz",2,2,1
"andrea",1,2,1
"applic",1,2,1
"assist",4,2,1
"basic",2,2,1
"becom",1,2,1
"better",1,2,1
"brazil",2,2,1
"brazilian",1,2,1
"broadli",1,2,1
"can",1,2,1
"cancelo",1,2,1
"challeng",1,2,1
"ciência",1,2,1
"clara",1,2,1
"combat",1,2,1
"complementari",6,2,1
"complex",1,2,1
"comprehens",1,2,1
"condit",1,2,1
"conjunct",1,2,1
"counti",1,2,1
"countri",2,2,1
"cruz",1,2,1
"develop",1,2,1
"diniz",1,2,1
"discuss",4,2,1
"drink",5,2,1
"effort",1,2,1
"equit",1,2,1
"escola",1,2,1
"essenti",2,2,1
"estatística",1,2,1
"exist",2,2,1
"fact",1,2,1
"factor",3,2,1
"focus",1,2,1
"fundament",1,2,1
"global",1,2,1
"goal",4,2,1
"guarante",2,2,1
"health",1,2,1
"highlight",1,2,1
"howev",1,2,1
"human",2,2,1
"ibg",1,2,1
"impact",1,2,1
"improv",1,2,1
"includ",1,2,1
"indic",13,2,1
"inequ",1,2,1
"influenc",1,2,1
"inform",1,2,1
"inher",2,2,1
"intern",1,2,1
"involv",1,2,1
"issu",2,2,1
"janeiro",2,2,1
"keyword",1,2,1
"lead",2,2,1
"level",2,2,1
"life",1,2,1
"monitor",3,2,1
"municip",2,2,1
"nacion",1,2,1
"need",1,2,1
"new",3,2,1
"particular",3,2,1
"point",1,2,1
"popul",2,2,1
"possibl",1,2,1
"present",6,2,1
"propos",7,2,1
"protect",1,2,1
"provis",1,2,1
"qualiti",1,2,1
"realiti",1,2,1
"right",3,2,1
"rio",2,2,1
"safe",1,2,1
"safeti",1,2,1
"sanit",2,2,1
"sdg",3,2,1
"silva",1,2,1
"situat",1,2,1
"sni",1,2,1
"social",1,2,1
"specif",1,2,1
"stand",1,2,1
"state",1,2,1
"studi",1,2,1
"suppli",1,2,1
"surround",1,2,1
"sustain",1,2,1
"take",2,2,1
"target",1,2,1
"total",1,2,1
"understand",1,2,1
"univers",1,2,1
"view",1,2,1
"water",6,2,1
"work",1,2,1
"abl",1,3,1
"access",3,3,1
"accord",1,3,1
"advanc",1,3,1
"agenda",2,3,1
"alloc",1,3,1
"alreadi",1,3,1
"altern",2,3,1
"among",1,3,1
"andrea",1,3,1
"area",2,3,1
"averag",1,3,1
"base",1,3,1
"becom",1,3,1
"big",1,3,1
"brazil",4,3,1
"brought",1,3,1
"built",2,3,1
"calcul",3,3,1
"can",1,3,1
"capac",1,3,1
"case",1,3,1
"census",1,3,1
"children",1,3,1
"ciência",1,3,1
"citi",2,3,1
"combin",1,3,1
"conduct",1,3,1
"configur",1,3,1
"construct",2,3,1
"contribut",1,3,1
"cost",1,3,1
"creat",1,3,1
"cristiano",1,3,1
"data",9,3,1
"deal",1,3,1
"demand",2,3,1
"design",1,3,1
"develop",1,3,1
"difficulti",2,3,1
"dimens",1,3,1
"diniz",1,3,1
"disabl",3,3,1
"due",5,3,1
"either",1,3,1
"elabor",1,3,1
"elderli",1,3,1
"environment",2,3,1
"escola",1,3,1
"estatística",1,3,1
"even",1,3,1
"face",1,3,1
"ferraz",1,3,1
"form",1,3,1
"found",1,3,1
"gain",1,3,1
"gender",1,3,1
"goal",1,3,1
"gonçalv",1,3,1
"green",1,3,1
"grow",1,3,1
"health",1,3,1
"ibg",1,3,1
"imageri",1,3,1
"import",2,3,1
"includ",1,3,1
"inclus",1,3,1
"increas",2,3,1
"increasingli",1,3,1
"indic",8,3,1
"inform",1,3,1
"ísi",1,3,1
"keyword",1,3,1
"lack",3,3,1
"life",2,3,1
"mainten",1,3,1
"measur",1,3,1
"method",3,3,1
"multifunct",1,3,1
"nacion",1,3,1
"need",2,3,1
"new",1,3,1
"non",1,3,1
"object",1,3,1
"often",1,3,1
"open",9,3,1
"part",2,3,1
"particularli",1,3,1
"peixoto",1,3,1
"peopl",2,3,1
"plan",1,3,1
"platform",1,3,1
"polici",2,3,1
"popul",3,3,1
"possibl",1,3,1
"produc",1,3,1
"proport",1,3,1
"provid",1,3,1
"public",7,3,1
"qualiti",2,3,1
"rate",1,3,1
"reason",1,3,1
"relat",1,3,1
"relev",1,3,1
"resourc",1,3,1
"respons",1,3,1
"result",1,3,1
"sampl",1,3,1
"satellit",1,3,1
"sdg",3,3,1
"search",1,3,1
"sex",1,3,1
"share",1,3,1
"silva",1,3,1
"social",2,3,1
"solv",1,3,1
"sourc",3,3,1
"space",6,3,1
"spite",1,3,1
"stand",1,3,1
"still",1,3,1
"studi",1,3,1
"supervisor",2,3,1
"survei",3,3,1
"sustain",1,3,1
"target",2,3,1
"technic",1,3,1
"tradit",2,3,1
"tri",1,3,1
"underprivileg",1,3,1
"univers",1,3,1
"urban",2,3,1
"valu",1,3,1
"viii",1,3,1
"wai",1,3,1
"well",1,3,1
"will",3,3,1
"women",1,3,1
"work",2,3,1
"yet",3,3,1
"advisor",2,4,1
"alv",1,4,1
"ana",1,4,1
"analysi",1,4,1
"analyz",1,4,1
"area",1,4,1
"associ",1,4,1
"bertho",1,4,1
"carolina",1,4,1
"carvalho",1,4,1
"caus",1,4,1
"chanc",2,4,1
"ciência",1,4,1
"common",1,4,1
"compar",2,4,1
"comparison",1,4,1
