"Termos","Freq","Código"
"numer",1,1
"´lgebra",2,2
"µi",1,3
"µr",1,4
"abbrevi",1,5
"abc",1,6
"abdala",1,7
"abdomin",3,8
"abelian",1,9
"aberr",5,10
"abil",22,11
"abl",32,12
"abordagem",1,13
"abroad",1,14
"abrupt",3,15
"absenc",8,16
"absent",1,17
"absolut",17,18
"absorb",2,19
"abstain",1,20
"absurd",1,21
"abund",2,22
"abundantli",1,23
"academ",9,24
"academia",1,25
"acaiá",1,26
"acceler",4,27
"accentu",1,28
"accept",12,29
"access",62,30
"accid",5,31
"accident",1,32
"accom",1,33
"accommod",9,34
"accomod",1,35
"accompani",1,36
"accomplish",4,37
"accord",55,38
"account",24,39
"accredit",2,40
"accumul",22,41
"accur",12,42
"accuraci",40,43
"acess",1,44
"ach",1,45
"achiev",27,46
"acid",3,47
"acoust",3,48
"acquir",5,49
"acquisit",3,50
"acronym",5,51
"across",6,52
"act",8,53
"action",21,54
"activ",41,55
"actor",4,56
"actual",5,57
"actuari",1,58
"açúcar",1,59
"acut",12,60
"acycl",2,61
"adalasso",4,62
"adam",1,63
"adamax",2,64
"adapt",60,65
"adaptivali",1,66
"add",4,67
"addario",1,68
"addict",1,69
"addit",132,70
"addition",10,71
"address",20,72
"adenin",1,73
"adequ",34,74
"adequaci",5,75
"adgv",1,76
"adhd",1,77
"adher",6,78
"adjac",1,79
"adjust",102,80
"administr",4,81
"admir",1,82
"admiss",5,83
"admit",3,84
"adn",1,85
"adolesc",5,86
"adopt",21,87
"adult",9,88
"advan",1,89
"advanc",21,90
"advantag",25,91
"advent",2,92
"advers",15,93
"adversari",4,94
"advis",24,95
"advisor",58,96
"aed",4,97
"aegypti",3,98
"aesthet",1,99
"affect",40,100
"affin",8,101
"affirm",3,102
"afford",1,103
"afonso",1,104
"aforement",5,105
"africa",8,106
"african",1,107
"afternoon",7,108
"afterward",1,109
"agenc",4,110
"agenda",8,111
"agent",4,112
"ageusia",1,113
"agglomer",1,114
"aggrav",2,115
"aggreg",2,116
"aghabozorgi",1,117
"agmon",1,118
"agnol",1,119
"agnost",7,120
"ago",4,121
"agrarian",4,122
